Person,Actual,Predicted,Count
Caroline van der Plas,Angry,Angry,0
Caroline van der Plas,Disgust,Angry,0
Caroline van der Plas,Fear,Angry,0
Caroline van der Plas,Happy,Angry,0
Caroline van der Plas,Neutral,Angry,0
Caroline van der Plas,NeutralNeutral,Angry,0
Caroline van der Plas,Sad,Angry,0
Caroline van der Plas,Surprise,Angry,0
Caroline van der Plas,Angry,Disgust,0
Caroline van der Plas,Disgust,Disgust,0
Caroline van der Plas,Fear,Disgust,0
Caroline van der Plas,Happy,Disgust,0
Caroline van der Plas,Neutral,Disgust,0
Caroline van der Plas,NeutralNeutral,Disgust,0
Caroline van der Plas,Sad,Disgust,0
Caroline van der Plas,Surprise,Disgust,0
Caroline van der Plas,Angry,Fear,0
Caroline van der Plas,Disgust,Fear,0
Caroline van der Plas,Fear,Fear,0
Caroline van der Plas,Happy,Fear,0
Caroline van der Plas,Neutral,Fear,0
Caroline van der Plas,NeutralNeutral,Fear,0
Caroline van der Plas,Sad,Fear,0
Caroline van der Plas,Surprise,Fear,0
Caroline van der Plas,Angry,Happy,0
Caroline van der Plas,Disgust,Happy,0
Caroline van der Plas,Fear,Happy,0
Caroline van der Plas,Happy,Happy,0
Caroline van der Plas,Neutral,Happy,0
Caroline van der Plas,NeutralNeutral,Happy,0
Caroline van der Plas,Sad,Happy,0
Caroline van der Plas,Surprise,Happy,0
Caroline van der Plas,Angry,Neutral,0
Caroline van der Plas,Disgust,Neutral,0
Caroline van der Plas,Fear,Neutral,0
Caroline van der Plas,Happy,Neutral,0
Caroline van der Plas,Neutral,Neutral,0
Caroline van der Plas,NeutralNeutral,Neutral,0
Caroline van der Plas,Sad,Neutral,0
Caroline van der Plas,Surprise,Neutral,0
Caroline van der Plas,Angry,NeutralNeutral,0
Caroline van der Plas,Disgust,NeutralNeutral,0
Caroline van der Plas,Fear,NeutralNeutral,0
Caroline van der Plas,Happy,NeutralNeutral,0
Caroline van der Plas,Neutral,NeutralNeutral,0
Caroline van der Plas,NeutralNeutral,NeutralNeutral,0
Caroline van der Plas,Sad,NeutralNeutral,0
Caroline van der Plas,Surprise,NeutralNeutral,0
Caroline van der Plas,Angry,Sad,0
Caroline van der Plas,Disgust,Sad,0
Caroline van der Plas,Fear,Sad,0
Caroline van der Plas,Happy,Sad,0
Caroline van der Plas,Neutral,Sad,0
Caroline van der Plas,NeutralNeutral,Sad,0
Caroline van der Plas,Sad,Sad,0
Caroline van der Plas,Surprise,Sad,0
Caroline van der Plas,Angry,Surprise,0
Caroline van der Plas,Disgust,Surprise,0
Caroline van der Plas,Fear,Surprise,0
Caroline van der Plas,Happy,Surprise,0
Caroline van der Plas,Neutral,Surprise,0
Caroline van der Plas,NeutralNeutral,Surprise,0
Caroline van der Plas,Sad,Surprise,0
Caroline van der Plas,Surprise,Surprise,0
Dilan Yesilgoz,Angry,Angry,0
Dilan Yesilgoz,Disgust,Angry,0
Dilan Yesilgoz,Fear,Angry,0
Dilan Yesilgoz,Happy,Angry,0
Dilan Yesilgoz,Neutral,Angry,0
Dilan Yesilgoz,NeutralNeutral,Angry,0
Dilan Yesilgoz,Sad,Angry,0
Dilan Yesilgoz,Surprise,Angry,0
Dilan Yesilgoz,Angry,Disgust,0
Dilan Yesilgoz,Disgust,Disgust,0
Dilan Yesilgoz,Fear,Disgust,0
Dilan Yesilgoz,Happy,Disgust,0
Dilan Yesilgoz,Neutral,Disgust,0
Dilan Yesilgoz,NeutralNeutral,Disgust,0
Dilan Yesilgoz,Sad,Disgust,0
Dilan Yesilgoz,Surprise,Disgust,0
Dilan Yesilgoz,Angry,Fear,0
Dilan Yesilgoz,Disgust,Fear,0
Dilan Yesilgoz,Fear,Fear,0
Dilan Yesilgoz,Happy,Fear,0
Dilan Yesilgoz,Neutral,Fear,0
Dilan Yesilgoz,NeutralNeutral,Fear,0
Dilan Yesilgoz,Sad,Fear,0
Dilan Yesilgoz,Surprise,Fear,0
Dilan Yesilgoz,Angry,Happy,0
Dilan Yesilgoz,Disgust,Happy,0
Dilan Yesilgoz,Fear,Happy,0
Dilan Yesilgoz,Happy,Happy,0
Dilan Yesilgoz,Neutral,Happy,0
Dilan Yesilgoz,NeutralNeutral,Happy,0
Dilan Yesilgoz,Sad,Happy,0
Dilan Yesilgoz,Surprise,Happy,0
Dilan Yesilgoz,Angry,Neutral,0
Dilan Yesilgoz,Disgust,Neutral,0
Dilan Yesilgoz,Fear,Neutral,0
Dilan Yesilgoz,Happy,Neutral,0
Dilan Yesilgoz,Neutral,Neutral,0
Dilan Yesilgoz,NeutralNeutral,Neutral,0
Dilan Yesilgoz,Sad,Neutral,0
Dilan Yesilgoz,Surprise,Neutral,0
Dilan Yesilgoz,Angry,NeutralNeutral,0
Dilan Yesilgoz,Disgust,NeutralNeutral,0
Dilan Yesilgoz,Fear,NeutralNeutral,0
Dilan Yesilgoz,Happy,NeutralNeutral,0
Dilan Yesilgoz,Neutral,NeutralNeutral,0
Dilan Yesilgoz,NeutralNeutral,NeutralNeutral,0
Dilan Yesilgoz,Sad,NeutralNeutral,0
Dilan Yesilgoz,Surprise,NeutralNeutral,0
Dilan Yesilgoz,Angry,Sad,0
Dilan Yesilgoz,Disgust,Sad,0
Dilan Yesilgoz,Fear,Sad,0
Dilan Yesilgoz,Happy,Sad,0
Dilan Yesilgoz,Neutral,Sad,0
Dilan Yesilgoz,NeutralNeutral,Sad,0
Dilan Yesilgoz,Sad,Sad,0
Dilan Yesilgoz,Surprise,Sad,0
Dilan Yesilgoz,Angry,Surprise,0
Dilan Yesilgoz,Disgust,Surprise,0
Dilan Yesilgoz,Fear,Surprise,0
Dilan Yesilgoz,Happy,Surprise,0
Dilan Yesilgoz,Neutral,Surprise,0
Dilan Yesilgoz,NeutralNeutral,Surprise,0
Dilan Yesilgoz,Sad,Surprise,0
Dilan Yesilgoz,Surprise,Surprise,0
Edson Olf,Angry,Angry,0
Edson Olf,Disgust,Angry,0
Edson Olf,Fear,Angry,0
Edson Olf,Happy,Angry,0
Edson Olf,Neutral,Angry,0
Edson Olf,NeutralNeutral,Angry,0
Edson Olf,Sad,Angry,0
Edson Olf,Surprise,Angry,0
Edson Olf,Angry,Disgust,0
Edson Olf,Disgust,Disgust,0
Edson Olf,Fear,Disgust,0
Edson Olf,Happy,Disgust,0
Edson Olf,Neutral,Disgust,0
Edson Olf,NeutralNeutral,Disgust,0
Edson Olf,Sad,Disgust,0
Edson Olf,Surprise,Disgust,0
Edson Olf,Angry,Fear,0
Edson Olf,Disgust,Fear,0
Edson Olf,Fear,Fear,0
Edson Olf,Happy,Fear,0
Edson Olf,Neutral,Fear,0
Edson Olf,NeutralNeutral,Fear,0
Edson Olf,Sad,Fear,0
